DATE,USDJPY,GBPUSD,USDCAD,AUDUSD,NZDUSD,USDCHF,USDNOK,USDSEK,EURUSD
1/1/1971,358.02,2.4058,1.0118,1.1181,1.1194,4.3053,7.1411,5.1639,
2/1/1971,357.545,2.4178,1.0075,1.1238,1.125,4.2981,7.1425,5.1726,
3/1/1971,357.5187,2.4187,1.0064,1.1243,1.1254,4.3003,7.1377,5.1628,
4/1/1971,357.5032,2.4179,1.0077,1.1238,1.125,4.2987,7.1287,5.163,
5/1/1971,357.413,2.4187,1.0087,1.1243,1.1254,4.1242,7.1145,5.166,
6/1/1971,357.4118,2.4188,1.0213,1.1243,1.1255,4.0938,7.1111,5.1625,
7/1/1971,357.4043,2.4185,1.0213,1.1241,1.1253,4.0946,7.1059,5.1623,
8/1/1971,355.78,2.4346,1.013,1.1316,1.1328,4.0306,7.0219,5.1279,
9/1/1971,338.021,2.4694,1.013,1.1478,1.149,3.9812,6.8993,5.0681,
10/1/1971,331.1105,2.4896,1.0047,1.1577,1.1588,3.975,6.8498,5.0217,
11/1/1971,328.752,2.4933,1.0039,1.1589,1.1601,3.9834,6.8595,5.0028,
12/1/1971,320.0727,2.5266,0.9993,1.1748,1.1731,3.9041,6.7496,4.8939,
1/1/1972,312.72,2.5705,1.0059,1.191,1.1936,3.8922,6.7056,4.8238,
2/1/1972,305.187,2.6037,1.0047,1.191,1.1939,3.8611,6.6538,4.7944,
3/1/1972,302.5365,2.6181,0.9985,1.191,1.1928,3.8567,6.5959,4.772,
4/1/1972,303.5605,2.6102,0.9957,1.191,1.1937,3.8509,6.6003,4.7831,
5/1/1972,304.3795,2.6124,0.9889,1.191,1.1941,3.8605,6.573,4.7546,
6/1/1972,302.4145,2.5691,0.9795,1.191,1.1913,3.7998,6.5349,4.7391,
7/1/1972,301.0305,2.4447,0.984,1.191,1.1931,3.765,6.5076,4.7316,
8/1/1972,301.1609,2.4502,0.9824,1.1911,1.1945,3.7808,6.5211,4.7258,
9/1/1972,301.119,2.441,0.983,1.191,1.1933,3.7874,6.5751,4.7292,
10/1/1972,301.011,2.3948,0.9827,1.1907,1.1921,3.7977,6.6046,4.7442,
11/1/1972,300.9885,2.3515,0.9874,1.1909,1.1945,3.7956,6.6034,4.7448,
12/1/1972,301.2405,2.3449,0.9968,1.2074,1.1953,3.77,6.5847,4.7438,
1/1/1973,301.7882,2.3563,0.9993,1.2716,1.1952,3.7293,6.6101,4.7411,
2/1/1973,278.4206,2.4272,0.9956,1.3546,1.2687,3.417,6.2437,4.5624,
3/1/1973,261.9014,2.4724,0.9967,1.4129,1.3221,3.2171,5.899,4.4294,
4/1/1973,265.4914,2.4837,1.0007,1.415,1.3299,3.2406,5.9155,4.5124,
5/1/1973,264.6505,2.5306,1.0008,1.415,1.3234,3.1728,5.8093,4.4328,
6/1/1973,264.4981,2.5762,0.9984,1.4158,1.324,3.0532,5.4986,4.2121,
7/1/1973,264.5538,2.5375,0.9995,1.4178,1.3502,2.8233,5.2827,4.0438,
8/1/1973,265.22,2.4757,1.0039,1.4148,1.3533,2.9733,5.5134,4.1557,
9/1/1973,265.4747,2.4183,1.0083,1.4683,1.4507,3.017,5.541,4.2072,
10/1/1973,266.3348,2.4292,1.0011,1.4823,1.4864,3.0288,5.4694,4.1769,
11/1/1973,278.2625,2.387,0.9991,1.4822,1.4774,3.1647,5.5963,4.3459,
12/1/1973,280.1775,2.3174,0.9994,1.4833,1.4434,3.2,5.6657,4.5403,
1/1/1974,298.1336,2.224,0.9915,1.4823,1.3908,3.3644,5.9749,4.813,
2/1/1974,291.0872,2.2749,0.9766,1.485,1.4031,3.1763,5.7648,4.6793,
3/1/1974,282.1648,2.3406,0.972,1.4855,1.434,3.0788,5.6401,4.5648,
4/1/1974,277.7741,2.3886,0.9676,1.4841,1.4513,3.027,5.5045,4.4004,
5/1/1974,278.9664,2.4137,0.9623,1.4844,1.4607,2.9173,5.3283,4.2763,
6/1/1974,282.97,2.3902,0.9664,1.4834,1.4529,2.9899,5.432,4.3699,
7/1/1974,290.98,2.3896,0.9763,1.4799,1.4515,2.9642,5.3999,4.3745,
8/1/1974,302.2836,2.3456,0.9799,1.4824,1.4373,2.9846,5.4814,4.4257,
9/1/1974,299.084,2.3165,0.9864,1.4487,1.3964,2.9967,5.5579,4.4778,
